name,locations,nation,outsourcing,product,working_schedule,overtime
BBV Vietnam,"District 12, Ho Chi Minh",Switzerland,True,False,Monday - Friday,False

Be Group,"District 10, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,True

BeLive,"District 8, Ho Chi Minh",Singapore,False,True,Monday - Friday,True

Ben Thanh Jewelry,"District 1, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False

BE Solutions,"District 1, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,True

Bfast System,"Cau Giay, Ha Noi",France,False,True,Monday - Friday,False

BIDV Securities Company (BSC),"Hoan Kiem, Ha Noi",Viet Nam,False,True,Monday - Friday,False

BigBom,"Binh Thanh, Ho Chi Minh",Singapore,False,True,Monday - Friday,False

Bigin,"Tan Binh, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,True

 Biglabs,"District 3, Ho Chi Minh",Singapore,False,True,Monday - Friday,False

BINKABI,Ha Noi,United Kingdom,False,True,Monday - Friday,True

BIP Vietnam,"Cau Giay, Ha Noi",Viet Nam,False,True,Monday - Friday,False

BIT Vietnam,"District 4, Ho Chi Minh",Japan,True,False,Monday - Friday,False

Biz4x Pte Ltd,Ho Chi Minh,Singapore,False,True,Monday - Friday,False

Bkav,"Cau Giay, Ha Noi",Viet Nam,False,True,Monday - Saturday,False

BLOCKDEV,"District 10, Ho Chi Minh",Singapore,True,False,Monday - Friday,True

Blueseed,"District 1, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,False

BOCASAY,"Ho Chi Minh, Ha Noi",France,True,False,Monday - Friday,False

Boon The Lab,"Binh Thanh, Ho Chi Minh",Republic of Korea,False,True,Monday - Friday,False

BoostML,"Hoan Kiem, Ha Noi",Viet Nam,False,True,Monday - Friday,False

B.O.T ĐT 830,Others,Viet Nam,False,True,Monday - Friday,False

"Br24 Vietnam Co., Ltd","Ha Noi, Ha Noi",Germany,False,True,Monday - Friday,True

Bridgetek Viet Nam,"Phu Nhuan, Ho Chi Minh",Singapore,False,True,Monday - Friday,False

Briswell Vietnam,"District 3, Ho Chi Minh",Japan,True,False,Monday - Friday,True

BSS Group,"Nam Tu Liem, Ha Noi",Viet Nam,False,True,Monday - Friday,False

BUCA,"Nam Tu Liem, Ha Noi",Viet Nam,False,True,Monday - Friday,False

Business4you AG,"District 1, Ho Chi Minh",Switzerland,False,True,Monday - Friday,False

B World Insights,"Hai Ba Trung, Ha Noi",Viet Nam,False,True,Monday - Friday,False

BYCN IT Vietnam,"Tan Binh, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False

Cadena Vietnam,"Tan Binh, Ho Chi Minh",Singapore,False,True,Monday - Friday,False

Caerux Lab,"Ha Noi, Others",Viet Nam,False,True,Monday - Friday,False

DICOM,"Thanh Xuan, Ha Noi",Viet Nam,False,True,Monday - Saturday,False
"DIMAGE SHARE VIETNAM CO.,LTD","Thanh Xuan, Ha Noi",Viet Nam,False,True,Monday - Friday,False
Dinotech,"Nam Tu Liem, Ha Noi",Viet Nam,False,True,Monday - Friday,False
Dinovative,"District 1, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,False
Dirox,"Binh Thanh, Ho Chi Minh",France,True,False,Monday - Friday,False
Discovery Loft Inc.,"District 1, Ho Chi Minh",Canada,False,True,Monday - Friday,False
DOCOM,"District 2, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
DOL Tech,"District 10, Ho Chi Minh",Viet Nam,False,True,Monday - Saturday,True
DREAMWISE,Ha Noi,Republic of Korea,False,True,Monday - Friday,False
DTH Viet Nam Group,"Ba Dinh, Ha Noi",Viet Nam,False,True,Monday - Saturday,False
DTN Software Solutions,"Cau Giay, Ha Noi",Viet Nam,True,False,Monday - Friday,True
DTS Software Vietnam,"Ba Dinh, Ha Noi",Japan,True,False,Monday - Friday,True
DTT Technology Group,"Ha Noi, Da Nang",Viet Nam,True,False,Monday - Friday,False
Du Lịch Và Xây Dựng Nam Thanh,Ha Noi,Viet Nam,False,True,Monday - Friday,False
Dũng Mori,"Thanh Xuan, Ha Noi",Viet Nam,False,True,Monday - Friday,False
Dược phẩm An Đông,Ho Chi Minh,Viet Nam,False,True,Monday - Friday,False
Easia Travel,"Hoan Kiem, Ha Noi",Viet Nam,False,True,Monday - Friday,False
East Agile,"Ho Chi Minh, Da Nang",United States,True,False,Monday - Friday,False
East West Industries Vietnam LLC.,Others,Viet Nam,False,True,Monday - Friday,False
EASY Credit ,"District 1, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
Easy IT Solutions,"District 3, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,False
Ecango | Corptek,Others,Australia,False,True,null,False
Ecoegg,"Ba Dinh, Ha Noi",Viet Nam,False,True,Monday - Friday,False
EG Việt Nam,Ho Chi Minh,Viet Nam,True,False,Monday - Friday,False
ekino Vietnam,"District 11, Ho Chi Minh",France,True,False,Monday - Friday,True
ELCA,"Binh Thanh, Ho Chi Minh",Switzerland,True,False,Monday - Friday,False
Elcom,"Ha Noi, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
Elefos,"Phu Nhuan, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
Elisoft,"Phu Nhuan, Ho Chi Minh",Belarus,True,False,Monday - Friday,False
EM&AI,"Hai Chau, Da Nang",Viet Nam,False,True,Monday - Friday,False
EMG Education,"District 1, Ho Chi Minh",Viet Nam,False,True,Monday - Saturday,False
Emotiv Technology Vietnam,"Thanh Xuan, Ha Noi",United States,False,True,Monday - Friday,False
Employment Hero,"District 10, Ho Chi Minh",Australia,False,True,Monday - Friday,False
Enable Startup ,"Hai Chau, Da Nang",Viet Nam,True,False,Monday - Friday,False
EN COM,"Tan Binh, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
Enouvo,"Son Tra, Da Nang",Viet Nam,True,False,Monday - Friday,False
Episerver,"Dong Da, Ha Noi",Viet Nam,False,True,Monday - Friday,False
ePlatform Solution,"District 1, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,False
eSilicon,"Tan Binh, Ho Chi Minh",United States,True,False,Monday - Friday,False
ESMAC Technology,"Tan Binh, Ho Chi Minh",Viet Nam,True,False,Monday - Friday,False
E-Solutions,"Cau Giay, Ha Noi",Viet Nam,False,True,Monday - Friday,False
Est Rouge,"Hai Chau, Da Nang",Viet Nam,False,True,Monday - Friday,False
ETC Technology Systems,"Cau Giay, Ha Noi",Viet Nam,False,True,Monday - Friday,False
ETON,"Binh Thanh, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
eTop.vn,"District 5, Ho Chi Minh",Viet Nam,False,True,Monday - Saturday,False
EVENT MEDICAL,"District 3, Ho Chi Minh",United States,False,True,Monday - Friday,False
Everrise Vietnam,"District 1, Ho Chi Minh",Viet Nam,False,True,Monday - Friday,False
Evolable Asia,"Ho Chi Minh, Ha Noi, Da Nang",Japan,True,False,Monday - Friday,False
EWAY,"Nam Tu Liem, Ha Noi",Viet Nam,False,True,Monday - Friday,False
EyeQ Tech,"Ho Chi Minh, Ha Noi",Viet Nam,False,True,Monday - Saturday,True
ezCloud,"Ba Dinh, Ha Noi",Viet Nam,False,True,Monday - Friday,False
